,index,Water_all_overlap_factor_100,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi3n,Chi3v,Chi4n,HallKierAlpha,PEOE_VSA3,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedRings,fr_Al_OH,fr_Al_OH_noTert,fr_NH1,fr_NH2,fr_ether
216,217,35.2459866,7.780218034,7.780218034,4.129823424,4.129823424,2.936448779,1.699827841,1.699827841,1.084343591,-1.85,4.983978521,0.0,5.733667477,0.0,11.05045608,27.82415733,100.87,5.865993008,4,0,6,0,0,0,2,1,0
217,218,31.1593736,8.38503052,8.38503052,4.179563419,4.179563419,3.010912376,1.412904054,1.412904054,0.783565448,-1.1,0.0,0.0,0.0,34.23252876,10.63357721,50.94679795,61.44,0.0,2,0,5,0,0,0,2,0,0
218,219,35.7308473,7.780218034,7.780218034,4.129823424,4.129823424,2.936448779,1.699827841,1.699827841,1.084343591,-1.85,4.983978521,0.0,5.733667477,0.0,11.05045608,27.82415733,100.87,5.865993008,4,0,6,0,0,0,2,1,0
219,220,34.6819561,4.75565417,4.75565417,2.424103609,2.424103609,1.49456426,0.959052251,0.959052251,0.368390572,-0.61,0.0,0.0,5.733667477,13.59242839,16.15698348,25.60357451,82.76,5.03212963,4,0,4,0,0,0,0,2,0
220,221,29.5512523,5.308060412,5.308060412,2.769385278,2.769385278,2.251274263,1.472822511,1.472822511,0.741938267,-0.61,4.794537184,0.0,5.733667477,20.19931035,11.05045608,31.70754089,64.35,4.77849537,3,1,4,1,0,0,1,1,1
221,222,30.0031223,6.923415484,6.923415484,3.797877056,3.797877056,2.616060533,1.665551935,1.665551935,1.053736098,-0.94,0.0,0.0,0.0,20.26143591,10.63357721,38.1176362,67.43,0.0,2,1,5,1,0,0,2,0,1
222,223,32.9463544,4.75565417,4.75565417,2.219979463,2.219979463,1.464203801,0.711675935,0.711675935,0.261691592,-0.61,0.0,0.0,11.46733495,13.71667951,11.46733495,25.66570006,78.34,9.905555556,4,0,4,0,0,0,0,2,1
223,224,32.4816985,4.75565417,4.75565417,2.219979463,2.219979463,1.464203801,0.711675935,0.711675935,0.261691592,-0.61,0.0,0.0,11.46733495,13.71667951,11.46733495,25.66570006,78.34,9.905555556,4,0,4,0,0,0,0,2,1
224,225,35.3922427,5.75565417,5.75565417,2.863425644,2.863425644,1.895694811,0.98966609,0.98966609,0.371536471,-1.1,0.0,0.0,11.46733495,6.544756406,16.78412356,24.40095669,98.21,9.800812547,5,0,5,0,0,0,1,2,0
225,226,34.0141767,4.664862963,4.664862963,2.28369024,2.28369024,1.668755772,0.848251505,0.848251505,0.237728606,-0.61,0.0,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,0,4,0,1,1,0,2,0
226,227,29.9232349,7.799244082,7.799244082,4.427364753,4.427364753,3.235599917,2.039480528,2.039480528,1.228643348,-0.65,0.0,0.0,0.0,32.84803315,10.63357721,49.46279108,70.59,-0.784305556,3,1,5,1,1,1,2,0,1
227,228,34.2993094,4.664862963,4.664862963,2.28369024,2.28369024,1.668755772,0.848251505,0.848251505,0.237728606,-0.61,0.0,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,0,4,0,1,1,0,2,0
228,229,35.0496313,5.087132532,5.087132532,2.557566613,2.557566613,1.708128268,1.154982935,1.154982935,0.562140176,-1.1,9.893218992,5.098681808,12.78133946,0.0,11.42341088,14.76446326,76.7,4.995324074,3,0,5,0,0,0,1,1,0
229,230,32.6913875,3.794619475,3.794619475,1.839283804,1.839283804,1.191436185,0.562147238,0.562147238,0.089972427,-0.61,0.0,0.0,11.46733495,6.606881965,11.46733495,23.66242992,89.34,9.51375,5,0,4,0,1,1,0,2,0
230,231,33.1562429,3.794619475,3.794619475,1.839283804,1.839283804,1.191436185,0.562147238,0.562147238,0.089972427,-0.61,0.0,0.0,11.46733495,6.606881965,11.46733495,23.66242992,89.34,9.51375,5,0,4,0,1,1,0,2,0
